ID,X,Y
Total,1480,
1,388.0000,545.0000
2,665.0000,635.0000
3,436.0000,557.0000
4,646.0000,640.0000
5,402.0000,602.0000
6,426.0000,545.0000
7,351.0000,615.0000
8,570.0000,507.0000
9,363.0000,567.0000
10,433.0000,540.0000
11,649.0000,517.0000
12,509.0000,586.0000
13,439.0000,650.0000
14,478.0000,532.0000
15,663.0000,542.0000
16,693.0000,563.0000
17,378.0000,596.0000
18,446.0000,672.0000
19,425.0000,653.0000
20,543.0000,672.0000
21,404.0000,642.0000
22,639.0000,633.0000
23,335.0000,569.0000
24,680.0000,607.0000
25,691.0000,592.0000
26,519.0000,504.0000
27,658.0000,527.0000
28,678.0000,623.0000
29,349.0000,576.0000
30,506.0000,654.0000
31,453.0000,580.0000
32,489.0000,511.0000
33,637.0000,506.0000
34,449.0000,687.0000
35,405.0000,556.0000
36,550.0000,628.0000
37,416.0000,588.0000
38,690.0000,573.0000
39,520.0000,601.0000
40,535.0000,580.0000
41,367.0000,574.0000
42,660.0000,618.0000
43,593.0000,524.0000
44,536.0000,715.0000
45,635.0000,622.0000
46,586.0000,563.0000
47,701.0000,568.0000
48,507.0000,632.0000
49,373.0000,585.0000
50,460.0000,678.0000
51,559.0000,553.0000
52,512.0000,583.0000
53,466.0000,507.0000
54,569.0000,658.0000
55,402.0000,535.0000
56,445.0000,537.0000
57,558.0000,567.0000
58,549.0000,608.0000
59,484.0000,506.0000
60,634.0000,673.0000
61,598.0000,573.0000
62,398.0000,509.0000
63,579.0000,577.0000
64,569.0000,553.0000
65,641.0000,624.0000
66,545.0000,510.0000
67,589.0000,511.0000
68,510.0000,564.0000
69,402.0000,553.0000
70,516.0000,656.0000
71,658.0000,644.0000
72,415.0000,611.0000
73,601.0000,639.0000
74,375.0000,605.0000
75,483.0000,611.0000
76,426.0000,663.0000
77,422.0000,684.0000
78,577.0000,510.0000
79,356.0000,604.0000
80,587.0000,615.0000
81,448.0000,502.0000
82,447.0000,649.0000
83,569.0000,679.0000
84,419.0000,636.0000
85,426.0000,534.0000
86,459.0000,632.0000
87,398.0000,534.0000
88,618.0000,652.0000
89,610.0000,545.0000
90,459.0000,518.0000
91,397.0000,527.0000
92,618.0000,595.0000
93,382.0000,658.0000
94,503.0000,660.0000
95,461.0000,529.0000
96,385.0000,513.0000
97,635.0000,528.0000
98,674.0000,616.0000
99,441.0000,700.0000
100,659.0000,522.0000
101,455.0000,666.0000
102,603.0000,573.0000
103,546.0000,585.0000
104,553.0000,571.0000
105,403.0000,527.0000
106,426.0000,635.0000
107,467.0000,592.0000
108,606.0000,590.0000
109,671.0000,624.0000
110,572.0000,518.0000
111,375.0000,643.0000
112,560.0000,707.0000
113,596.0000,540.0000
114,629.0000,564.0000
115,668.0000,609.0000
116,408.0000,647.0000
117,658.0000,532.0000
118,661.0000,633.0000
119,598.0000,613.0000
120,455.0000,514.0000
121,434.0000,592.0000
122,442.0000,531.0000
123,576.0000,693.0000
124,642.0000,672.0000
125,696.0000,515.0000
126,351.0000,599.0000
127,520.0000,690.0000
128,628.0000,669.0000
129,423.0000,523.0000
130,478.0000,705.0000
131,430.0000,639.0000
132,418.0000,566.0000
133,492.0000,686.0000
134,526.0000,529.0000
135,636.0000,544.0000
136,544.0000,575.0000
137,559.0000,606.0000
138,400.0000,633.0000
139,513.0000,603.0000
140,553.0000,596.0000
141,695.0000,522.0000
142,421.0000,548.0000
143,519.0000,699.0000
144,622.0000,605.0000
145,370.0000,538.0000
146,630.0000,548.0000
147,520.0000,565.0000
148,697.0000,559.0000
149,604.0000,506.0000
150,550.0000,520.0000
151,471.0000,509.0000
152,670.0000,586.0000
153,689.0000,606.0000
154,469.0000,626.0000
155,424.0000,679.0000
156,470.0000,533.0000
157,602.0000,559.0000
158,638.0000,525.0000
159,604.0000,657.0000
160,419.0000,525.0000
161,600.0000,548.0000
162,575.0000,556.0000
163,549.0000,710.0000
164,545.0000,651.0000
165,421.0000,613.0000
166,461.0000,594.0000
167,440.0000,540.0000
168,364.0000,626.0000
169,677.0000,537.0000
170,618.0000,683.0000
171,441.0000,553.0000
172,458.0000,673.0000
173,451.0000,610.0000
174,517.0000,521.0000
175,495.0000,644.0000
176,488.0000,576.0000
177,684.0000,623.0000
178,629.0000,630.0000
179,622.0000,556.0000
180,517.0000,555.0000
181,549.0000,553.0000
182,708.0000,547.0000
183,413.0000,525.0000
184,617.0000,572.0000
185,548.0000,599.0000
186,545.0000,536.0000
187,589.0000,530.0000
188,657.0000,654.0000
189,545.0000,687.0000
190,549.0000,657.0000
191,496.0000,534.0000
192,376.0000,639.0000
193,437.0000,567.0000
194,585.0000,653.0000
195,547.0000,642.0000
196,713.0000,534.0000
197,573.0000,547.0000
198,374.0000,628.0000
199,539.0000,543.0000
200,433.0000,573.0000
201,540.0000,603.0000
202,640.0000,550.0000
203,361.0000,554.0000
204,603.0000,525.0000
205,699.0000,547.0000
206,613.0000,506.0000
207,443.0000,511.0000
208,587.0000,556.0000
209,388.0000,649.0000
210,582.0000,566.0000
211,423.0000,657.0000
212,594.0000,700.0000
213,651.0000,623.0000
214,528.0000,552.0000
215,519.0000,664.0000
216,579.0000,619.0000
217,581.0000,550.0000
218,375.0000,621.0000
219,431.0000,583.0000
220,678.0000,585.0000
221,551.0000,634.0000
222,547.0000,618.0000
223,648.0000,647.0000
224,375.0000,503.0000
225,641.0000,586.0000
226,346.0000,508.0000
227,617.0000,631.0000
228,504.0000,525.0000
229,656.0000,616.0000
230,505.0000,592.0000
231,337.0000,591.0000
232,374.0000,529.0000
233,643.0000,516.0000
234,487.0000,697.0000
235,663.0000,574.0000
236,536.0000,702.0000
237,343.0000,555.0000
238,528.0000,692.0000
239,559.0000,584.0000
240,516.0000,642.0000
241,464.0000,692.0000
242,626.0000,536.0000
243,527.0000,623.0000
244,434.0000,658.0000
245,500.0000,695.0000
246,688.0000,551.0000
247,486.0000,591.0000
248,518.0000,590.0000
249,654.0000,664.0000
250,513.0000,576.0000
251,641.0000,655.0000
252,673.0000,597.0000
253,542.0000,655.0000
254,441.0000,676.0000
255,546.0000,550.0000
256,419.0000,652.0000
257,545.0000,504.0000
258,484.0000,638.0000
259,413.0000,559.0000
260,539.0000,522.0000
261,488.0000,635.0000
262,643.0000,618.0000
263,564.0000,580.0000
264,351.0000,518.0000
265,609.0000,694.0000
266,534.0000,653.0000
267,545.0000,531.0000
268,643.0000,596.0000
269,563.0000,644.0000
270,379.0000,603.0000
271,497.0000,692.0000
272,379.0000,644.0000
273,622.0000,526.0000
274,427.0000,519.0000
275,693.0000,534.0000
276,586.0000,576.0000
277,465.0000,639.0000
278,678.0000,524.0000
279,600.0000,667.0000
280,648.0000,576.0000
281,533.0000,570.0000
282,392.0000,536.0000
283,410.0000,512.0000
284,530.0000,560.0000
285,393.0000,622.0000
286,476.0000,523.0000
287,666.0000,545.0000
288,402.0000,661.0000
289,448.0000,578.0000
290,476.0000,584.0000
291,671.0000,606.0000
292,476.0000,633.0000
293,471.0000,599.0000
294,360.0000,511.0000
295,611.0000,600.0000
296,583.0000,510.0000
297,522.0000,508.0000
298,394.0000,606.0000
299,556.0000,625.0000
300,585.0000,642.0000
301,653.0000,535.0000
302,545.0000,592.0000
303,559.0000,590.0000
304,483.0000,537.0000
305,544.0000,630.0000
306,337.0000,509.0000
307,576.0000,586.0000
308,397.0000,572.0000
309,412.0000,649.0000
310,479.0000,538.0000
311,344.0000,541.0000
312,643.0000,529.0000
313,409.0000,539.0000
314,622.0000,571.0000
315,468.0000,512.0000
316,560.0000,651.0000
317,455.0000,621.0000
318,441.0000,686.0000
319,473.0000,565.0000
320,478.0000,507.0000
321,476.0000,557.0000
