ID,LIG01,LIG02,LIG03,LIG04,LIG05,LIG06,LIG07,LIG08,LIG09,LIG10,S_GENE11,S_GENE12,S_GENE13,S_GENE14,S_GENE15,S_GENE16,S_GENE17,S_GENE18,S_GENE19,S_GENE20,S_GENE21,S_GENE22,S_GENE23,S_GENE24,S_GENE25,S_GENE26,S_GENE27,S_GENE28,S_GENE29,S_GENE30,S_GENE31,S_GENE32,S_GENE33,S_GENE34,S_GENE35,S_GENE36,S_GENE37,S_GENE38,S_GENE39,S_GENE40,S_GENE41,S_GENE42,S_GENE43,S_GENE44,S_GENE45,S_GENE46,S_GENE47,S_GENE48,S_GENE49,S_GENE50,REC01,REC02,REC03,REC04,REC05,REC06,REC07,REC08,REC09,REC10,R_GENE11,R_GENE12,R_GENE13,R_GENE14,R_GENE15,R_GENE16,R_GENE17,R_GENE18,R_GENE19,R_GENE20,R_GENE21,R_GENE22,R_GENE23,R_GENE24,R_GENE25,R_GENE26,R_GENE27,R_GENE28,R_GENE29,R_GENE30,R_GENE31,R_GENE32,R_GENE33,R_GENE34,R_GENE35,R_GENE36,R_GENE37,R_GENE38,R_GENE39,R_GENE40,R_GENE41,R_GENE42,R_GENE43,R_GENE44,R_GENE45,R_GENE46,R_GENE47,R_GENE48,R_GENE49,R_GENE50
1,14.922150,0.944635,16.699022,11.746500,15.153952,12.576596,19.454168,0.041599,17.246956,0.196138,0.661231,0.865471,0.048477,0.184760,0.909340,0.436856,0.895682,0.256799,0.432165,0.039513,0.704209,0.241812,0.315391,0.860046,0.983614,0.779674,0.314624,0.190147,0.365915,0.487977,0.192436,0.175784,0.616917,0.585296,0.550064,0.422264,0.904284,0.630196,0.140959,0.422566,0.933860,0.360421,0.504360,0.903962,0.372967,0.674107,0.163020,0.973909,0.256844,0.268204,0.930387,0.923518,0.175345,0.814884,0.740097,0.850336,0.245429,0.211162,0.356576,0.345101,0.021012,0.903181,0.534016,0.100321,0.006159,0.682642,0.873922,0.506057,0.390528,0.165620,0.891061,0.379711,0.765317,0.384293,0.935529,0.221330,0.740831,0.637532,0.394326,0.974677,0.468396,0.142648,0.307820,0.405394,0.366867,0.850306,0.783293,0.484131,0.523795,0.480359,0.498962,0.614330,0.616218,0.214990,0.085387,0.108599,0.506667,0.352945,0.345123,0.142142
2,10.627889,12.955207,14.401798,15.316157,0.719986,19.333826,0.318335,0.002298,14.227288,0.939738,0.150986,0.046822,0.375158,0.276290,0.934337,0.458987,0.040311,0.179870,0.728001,0.260645,0.090486,0.225597,0.030895,0.858136,0.677292,0.800293,0.734874,0.607944,0.495223,0.713721,0.244715,0.282900,0.341040,0.776052,0.844060,0.325765,0.119495,0.485725,0.744498,0.393691,0.456099,0.385916,0.250818,0.329084,0.228033,0.539352,0.238396,0.480195,0.813994,0.638481,0.603166,0.307519,0.305471,0.485102,0.742939,0.364760,0.367633,0.522005,0.504071,0.803147,0.817250,0.590777,0.512728,0.562660,0.142286,0.737170,0.580048,0.535601,0.947562,0.849489,0.128614,0.296252,0.341160,0.492921,0.638529,0.712782,0.603349,0.616107,0.428688,0.474506,0.461667,0.287776,0.690601,0.111992,0.856404,0.511461,0.143255,0.900611,0.146775,0.990259,0.241149,0.391962,0.152701,0.929949,0.696614,0.246489,0.618861,0.375068,0.375052,0.157347
3,19.719069,10.101278,10.455048,0.853317,0.370780,0.667088,15.696193,0.543136,0.417447,0.121506,0.025841,0.466173,0.736774,0.190670,0.657989,0.099349,0.035888,0.064144,0.245940,0.322679,0.180898,0.155615,0.659661,0.181554,0.768622,0.993942,0.090433,0.636634,0.604287,0.518211,0.951674,0.526600,0.985155,0.229068,0.486048,0.950502,0.964838,0.623251,0.418960,0.354396,0.259037,0.564396,0.922510,0.279597,0.207521,0.653299,0.619135,0.599854,0.646578,0.456581,0.214528,0.537731,0.933792,0.199282,0.078393,0.212200,0.610825,0.626698,0.418447,0.870410,0.873589,0.004270,0.131012,0.542898,0.220873,0.213553,0.579793,0.157820,0.726280,0.435411,0.096829,0.617730,0.773222,0.852558,0.258198,0.358613,0.418991,0.556242,0.656832,0.032848,0.797759,0.499555,0.383456,0.718805,0.325413,0.595068,0.238520,0.566809,0.717010,0.600503,0.977265,0.461799,0.451930,0.520874,0.166637,0.994695,0.676318,0.900340,0.182459,0.730729
4,0.898151,15.096352,18.376316,17.250698,0.877292,17.277782,18.657997,17.043545,0.112944,11.449275,0.623499,0.378426,0.368895,0.692207,0.118011,0.570801,0.331364,0.465149,0.724238,0.692412,0.527373,0.120935,0.234911,0.732914,0.649077,0.995369,0.386664,0.087728,0.925073,0.461588,0.376910,0.031315,0.483101,0.738920,0.335022,0.390051,0.573613,0.107583,0.996861,0.700444,0.293951,0.655861,0.143700,0.245897,0.334335,0.050865,0.933181,0.140248,0.639254,0.546754,0.492936,0.535933,0.142586,0.320242,0.570565,0.632309,0.106409,0.621038,0.462368,0.433143,0.838335,0.167641,0.470170,0.821254,0.301284,0.147111,0.620804,0.454939,0.177126,0.855908,0.827977,0.288837,0.935831,0.890124,0.774414,0.370989,0.507368,0.855351,0.267983,0.449809,0.187003,0.353330,0.807593,0.794743,0.614089,0.918609,0.264784,0.903985,0.500426,0.391838,0.169363,0.169761,0.233162,0.777740,0.796709,0.361048,0.744056,0.712340,0.128642,0.923895
5,15.954400,0.717851,14.486556,18.688881,0.843271,10.413153,14.328488,16.340330,12.722378,15.357867,0.851300,0.190232,0.059939,0.647307,0.452639,0.229215,0.036067,0.462730,0.597764,0.305830,0.446631,0.602670,0.528056,0.692963,0.627957,0.421574,0.831857,0.639294,0.846289,0.160018,0.726203,0.778196,0.551411,0.265024,0.344942,0.479228,0.639320,0.002139,0.048703,0.949903,0.541402,0.165203,0.782706,0.231137,0.040296,0.858816,0.351394,0.006890,0.671107,0.710377,0.075566,0.746037,0.417135,0.136464,0.051519,0.261389,0.511732,0.343923,0.982873,0.762678,0.993928,0.854339,0.579121,0.046134,0.338169,0.110556,0.978100,0.994019,0.082730,0.208688,0.167878,0.955631,0.405909,0.876887,0.689837,0.330507,0.409241,0.647181,0.347977,0.103496,0.848815,0.354734,0.990344,0.013063,0.048712,0.258229,0.762906,0.763602,0.293005,0.850372,0.453391,0.979209,0.912559,0.118358,0.522509,0.875737,0.377439,0.844704,0.249593,0.632613
6,0.571175,0.866642,0.612575,0.333269,15.916523,0.022964,0.387903,16.984163,18.069952,15.830158,0.784627,0.784484,0.530222,0.131258,0.417455,0.089711,0.177820,0.053297,0.492350,0.840700,0.280912,0.853425,0.954680,0.316911,0.953149,0.308206,0.203770,0.336606,0.871348,0.439780,0.464588,0.304082,0.562837,0.441862,0.881097,0.499115,0.849554,0.729300,0.855688,0.108219,0.700908,0.683104,0.073307,0.112652,0.935400,0.316385,0.147087,0.194939,0.337211,0.412880,0.465402,0.094410,0.870254,0.578828,0.468186,0.991982,0.408502,0.093397,0.191599,0.249199,0.634568,0.264579,0.784016,0.011749,0.703169,0.096005,0.170543,0.891978,0.682329,0.982809,0.893966,0.574629,0.944943,0.483480,0.772954,0.897918,0.195950,0.620306,0.489917,0.178054,0.334097,0.415102,0.674322,0.163823,0.957404,0.873211,0.489807,0.023466,0.494440,0.276319,0.082324,0.819488,0.359960,0.019283,0.857726,0.863416,0.210701,0.802816,0.937951,0.831987
7,19.579704,16.293634,14.362716,0.591709,0.502691,0.091237,18.106665,11.272409,19.698051,19.763746,0.462898,0.869560,0.273053,0.583377,0.461872,0.261749,0.677521,0.123514,0.408059,0.069401,0.949596,0.153860,0.825528,0.398074,0.271433,0.868131,0.617614,0.514041,0.829728,0.486326,0.901641,0.663825,0.302350,0.746153,0.998251,0.490829,0.282582,0.637462,0.515580,0.566281,0.164516,0.333745,0.229747,0.817179,0.613070,0.878192,0.938245,0.475060,0.176749,0.470069,0.921381,0.545607,0.489003,0.682989,0.974405,0.743360,0.558151,0.662882,0.661201,0.822795,0.484508,0.403214,0.752229,0.090207,0.830449,0.040774,0.319857,0.018268,0.205920,0.488208,0.316867,0.609396,0.387614,0.589548,0.272706,0.661337,0.461575,0.223591,0.726185,0.710905,0.334539,0.513855,0.350304,0.372470,0.316500,0.259820,0.553511,0.924309,0.567522,0.112676,0.348929,0.681095,0.494675,0.511953,0.172619,0.371852,0.157317,0.678746,0.665451,0.189368
8,19.616907,19.305094,18.700710,15.318939,11.930456,16.560801,15.046892,12.059841,19.857595,18.830183,0.931772,0.055209,0.059749,0.082226,0.286240,0.071375,0.897585,0.144285,0.496317,0.145571,0.196333,0.889993,0.506473,0.294587,0.484577,0.982916,0.841876,0.187633,0.368284,0.021617,0.628401,0.759860,0.592854,0.722352,0.069215,0.174701,0.951438,0.609918,0.847081,0.416359,0.605614,0.900502,0.147154,0.198985,0.130955,0.215992,0.020839,0.072155,0.513723,0.861328,0.927138,0.863350,0.996759,0.084190,0.588137,0.811149,0.915478,0.406406,0.808886,0.058176,0.827945,0.031762,0.525203,0.632296,0.571571,0.520452,0.171770,0.356495,0.507764,0.761947,0.363511,0.368526,0.074839,0.878258,0.813432,0.019656,0.133764,0.993863,0.132866,0.420993,0.021809,0.783175,0.503351,0.731433,0.882036,0.856823,0.854719,0.633966,0.671728,0.858012,0.250180,0.278770,0.801811,0.047911,0.762494,0.663728,0.925977,0.014078,0.987546,0.724242
9,0.121772,15.959665,18.092230,14.124066,0.216372,0.037756,0.538089,12.505971,12.182203,0.263897,0.497647,0.879807,0.711752,0.402864,0.147721,0.196024,0.751800,0.407940,0.248353,0.273252,0.815325,0.751674,0.861222,0.082217,0.479713,0.727590,0.281144,0.102544,0.597684,0.554204,0.311560,0.254946,0.979907,0.629710,0.293478,0.867544,0.283478,0.241407,0.221489,0.892722,0.041644,0.688935,0.487451,0.939237,0.970816,0.911819,0.949602,0.240143,0.973173,0.873455,0.762790,0.171066,0.049446,0.433466,0.153282,0.133907,0.413366,0.262675,0.302352,0.486759,0.304365,0.714761,0.462299,0.981249,0.768620,0.969074,0.076144,0.536877,0.782062,0.706786,0.446129,0.909151,0.717523,0.604617,0.085004,0.188021,0.629300,0.696567,0.942312,0.095288,0.289367,0.052483,0.494012,0.502663,0.323557,0.622671,0.037444,0.356165,0.881218,0.867596,0.961726,0.256660,0.728306,0.178950,0.270524,0.115827,0.973466,0.435135,0.648160,0.884997
10,0.811177,0.592658,12.946053,0.987170,18.644323,17.567341,15.433565,0.878694,0.189119,12.028198,0.968911,0.886165,0.825966,0.440215,0.761459,0.931253,0.088505,0.924092,0.739821,0.024278,0.063580,0.059770,0.015037,0.212112,0.262908,0.135670,0.381614,0.707100,0.880106,0.323982,0.209857,0.303821,0.084993,0.081681,0.173399,0.238103,0.195177,0.124123,0.382649,0.535797,0.235292,0.874380,0.275792,0.831381,0.802344,0.295642,0.150703,0.652647,0.825670,0.892064,0.494560,0.914634,0.043661,0.592465,0.541661,0.047708,0.287766,0.530305,0.625819,0.602295,0.597444,0.506644,0.417319,0.727704,0.751823,0.203982,0.327089,0.828185,0.234106,0.189125,0.735505,0.356202,0.386050,0.041296,0.261273,0.766702,0.050811,0.913164,0.547917,0.544297,0.524940,0.732856,0.272119,0.704037,0.775042,0.978048,0.811035,0.250673,0.850959,0.501147,0.838270,0.485138,0.243636,0.669803,0.831417,0.341050,0.388022,0.467503,0.992789,0.643310
