dataset_id,sample_id,src_idx,dst_idx,src_cell_id,dst_cell_id,ligand,receptor,pathway,mechanism,distance_px,coexpr,causal_score,strength,score
simulation_data,sample4,488,758,489,759,LIG01,REC01,Synthetic,Secreted Signaling,58.54912567138672,2.4010958671569824,0.5,0.8303268551826477,1.0
simulation_data,sample4,429,758,430,759,LIG01,REC01,Synthetic,Secreted Signaling,47.04253387451172,3.9344546794891357,0.5,0.830188512802124,0.9999212622642517
simulation_data,sample4,20,758,21,759,LIG01,REC01,Synthetic,Secreted Signaling,36.67424011230469,4.140451908111572,0.5,0.8288604021072388,0.9991647601127625
simulation_data,sample4,574,758,575,759,LIG01,REC01,Synthetic,Secreted Signaling,31.016124725341797,2.4010958671569824,0.5,0.8264854550361633,0.9978122115135193
simulation_data,sample4,335,1366,336,1367,LIG01,REC01,Synthetic,Secreted Signaling,58.694122314453125,3.172520637512207,0.5,0.7963345050811768,0.9806402325630188
simulation_data,sample4,350,1366,351,1367,LIG01,REC01,Synthetic,Secreted Signaling,57.14017868041992,2.67984938621521,0.5,0.7953616380691528,0.980086088180542
simulation_data,sample4,468,1366,469,1367,LIG01,REC01,Synthetic,Secreted Signaling,49.51767349243164,3.624316453933716,0.5,0.7948809862136841,0.9798123240470886
simulation_data,sample4,522,1366,523,1367,LIG01,REC01,Synthetic,Secreted Signaling,41.0,3.624316453933716,0.5,0.7928808927536011,0.9786732196807861
simulation_data,sample4,135,1366,136,1367,LIG01,REC01,Synthetic,Secreted Signaling,41.617305755615234,3.443998098373413,0.5,0.792824387550354,0.9786410331726074
simulation_data,sample4,522,1318,523,1319,LIG01,REC01,Synthetic,Secreted Signaling,55.94640350341797,2.7979986667633057,0.5,0.7926279902458191,0.9785292148590088
simulation_data,sample4,358,1318,359,1319,LIG01,REC01,Synthetic,Secreted Signaling,55.6596794128418,2.0688631534576416,0.5,0.7910285592079163,0.9776182770729065
simulation_data,sample4,11,1366,12,1367,LIG01,REC01,Synthetic,Secreted Signaling,35.05709457397461,3.172520637512207,0.5,0.790847659111023,0.9775152206420898
