cell_id,role,is_fp,niche_id,global_id
1,sender,1,1,600
2,sender,0,1,601
3,sender,0,1,602
4,sender,0,1,603
5,sender,1,1,604
6,sender,0,1,605
7,sender,1,1,606
8,sender,0,1,607
9,sender,1,1,608
10,sender,1,1,609
11,sender,0,1,610
12,sender,1,1,611
13,sender,1,1,612
14,sender,1,1,613
15,sender,0,1,614
16,sender,1,1,615
17,sender,1,1,616
18,sender,1,1,617
19,sender,0,1,618
20,sender,0,1,619
21,sender,0,1,620
22,sender,1,1,621
23,sender,1,1,622
24,sender,1,1,623
25,sender,1,1,624
26,sender,0,1,625
27,sender,0,1,626
28,sender,1,1,627
29,sender,1,1,628
30,sender,0,1,629
31,sender,1,1,630
32,sender,0,1,631
33,sender,0,1,632
34,sender,0,1,633
35,sender,0,1,634
36,sender,1,1,635
37,sender,0,1,636
38,sender,1,1,637
39,sender,0,1,638
40,sender,0,1,639
41,sender,1,1,640
42,sender,1,1,641
43,sender,0,1,642
44,sender,0,1,643
45,sender,0,1,644
46,sender,1,1,645
47,sender,0,1,646
48,sender,0,1,647
49,sender,1,1,648
50,sender,0,1,649
51,sender,0,1,650
52,sender,1,1,651
53,sender,0,1,652
54,sender,0,1,653
55,sender,1,1,654
56,sender,0,1,655
57,sender,0,1,656
58,sender,0,1,657
59,sender,0,1,658
60,sender,1,1,659
61,sender,0,1,660
62,sender,0,1,661
63,sender,1,1,662
64,sender,1,1,663
65,sender,0,1,664
66,sender,0,1,665
67,sender,1,1,666
68,sender,0,1,667
69,sender,1,1,668
70,sender,1,1,669
71,sender,1,1,670
72,sender,0,1,671
73,sender,1,1,672
74,sender,0,1,673
75,sender,0,1,674
76,sender,1,1,675
77,sender,1,1,676
78,sender,0,1,677
79,sender,0,1,678
80,sender,0,1,679
81,sender,0,1,680
82,sender,0,1,681
83,sender,0,1,682
84,sender,0,1,683
85,sender,0,1,684
86,sender,0,1,685
87,sender,1,1,686
88,sender,0,1,687
89,sender,0,1,688
90,sender,0,1,689
91,sender,1,1,690
92,sender,0,1,691
93,sender,0,1,692
94,sender,0,1,693
95,sender,1,1,694
96,sender,0,1,695
97,sender,0,1,696
98,sender,0,1,697
99,sender,0,1,698
100,sender,0,1,699
101,sender,0,1,700
102,sender,1,1,701
103,sender,0,1,702
104,sender,0,1,703
105,sender,1,1,704
106,sender,0,1,705
107,sender,0,1,706
108,sender,1,1,707
109,sender,0,1,708
110,sender,1,1,709
111,sender,1,1,710
112,sender,1,1,711
113,sender,1,1,712
114,sender,0,1,713
115,sender,1,1,714
116,sender,0,1,715
117,sender,0,1,716
118,sender,0,1,717
119,sender,0,1,718
120,sender,1,1,719
