ID,LIG01,LIG02,LIG03,LIG04,LIG05,LIG06,LIG07,LIG08,LIG09,LIG10,S_GENE11,S_GENE12,S_GENE13,S_GENE14,S_GENE15,S_GENE16,S_GENE17,S_GENE18,S_GENE19,S_GENE20,S_GENE21,S_GENE22,S_GENE23,S_GENE24,S_GENE25,S_GENE26,S_GENE27,S_GENE28,S_GENE29,S_GENE30,S_GENE31,S_GENE32,S_GENE33,S_GENE34,S_GENE35,S_GENE36,S_GENE37,S_GENE38,S_GENE39,S_GENE40,S_GENE41,S_GENE42,S_GENE43,S_GENE44,S_GENE45,S_GENE46,S_GENE47,S_GENE48,S_GENE49,S_GENE50,REC01,REC02,REC03,REC04,REC05,REC06,REC07,REC08,REC09,REC10,R_GENE11,R_GENE12,R_GENE13,R_GENE14,R_GENE15,R_GENE16,R_GENE17,R_GENE18,R_GENE19,R_GENE20,R_GENE21,R_GENE22,R_GENE23,R_GENE24,R_GENE25,R_GENE26,R_GENE27,R_GENE28,R_GENE29,R_GENE30,R_GENE31,R_GENE32,R_GENE33,R_GENE34,R_GENE35,R_GENE36,R_GENE37,R_GENE38,R_GENE39,R_GENE40,R_GENE41,R_GENE42,R_GENE43,R_GENE44,R_GENE45,R_GENE46,R_GENE47,R_GENE48,R_GENE49,R_GENE50
1,5.702692,4.741179,3.461532,6.507239,4.345448,6.292830,6.154949,4.603381,6.944557,3.404722,0.261191,0.974149,0.623967,0.783094,0.614538,0.918780,0.402456,0.559429,0.378361,0.584210,0.116981,0.803716,0.290160,0.226700,0.480737,0.288871,0.294274,0.470674,0.616544,0.247023,0.376781,0.998128,0.801160,0.226549,0.641117,0.237118,0.802319,0.068168,0.735239,0.896719,0.794902,0.527197,0.153121,0.623670,0.591712,0.059495,0.233930,0.026003,0.763761,0.044056,0.211872,0.297040,0.496784,0.950693,0.352634,0.196912,0.141396,0.043257,0.582015,0.654417,0.758546,0.781084,0.400779,0.347531,0.526720,0.831264,0.568077,0.164003,0.441994,0.780701,0.776175,0.037460,0.340148,0.962131,0.007792,0.931501,0.802880,0.802465,0.182421,0.717151,0.986338,0.844460,0.465942,0.945705,0.871563,0.417861,0.214811,0.117399,0.448392,0.270761,0.058994,0.089843,0.738596,0.413724,0.996147,0.645646,0.308283,0.020558,0.622576,0.415440
2,7.653896,13.375299,11.309408,8.542965,7.873431,6.947912,10.931652,7.398860,9.821732,7.063613,0.965644,0.254830,0.140013,0.017061,0.416636,0.444542,0.998721,0.972310,0.682536,0.793082,0.333579,0.374495,0.150456,0.498111,0.440039,0.307957,0.909098,0.836231,0.035645,0.815557,0.130246,0.285488,0.899727,0.080060,0.643828,0.265312,0.544239,0.609791,0.236670,0.751472,0.625796,0.805602,0.044339,0.425851,0.232940,0.822286,0.602463,0.652458,0.194076,0.035403,0.603562,0.152790,0.239277,0.447924,0.040116,0.796056,0.379709,0.088605,0.734900,0.312013,0.939442,0.024401,0.141707,0.052234,0.666050,0.806909,0.305693,0.803203,0.231978,0.727126,0.428773,0.532909,0.429026,0.170087,0.980023,0.710446,0.248082,0.959783,0.677325,0.259206,0.411304,0.850450,0.255715,0.059063,0.977431,0.120988,0.584962,0.325291,0.465745,0.774273,0.907914,0.662014,0.949045,0.502936,0.631609,0.491837,0.594350,0.843007,0.099857,0.116958
3,11.142067,8.636008,6.888066,7.028281,6.949507,12.564380,13.188869,7.490661,10.576785,8.858881,0.380655,0.948085,0.017907,0.388970,0.595703,0.795907,0.926374,0.621710,0.326100,0.626765,0.226441,0.225157,0.033129,0.828257,0.475860,0.394050,0.811474,0.557694,0.858444,0.944692,0.822620,0.521925,0.841350,0.605130,0.382558,0.091294,0.785367,0.155433,0.727434,0.541885,0.745594,0.156834,0.953852,0.365518,0.006610,0.829760,0.241304,0.228719,0.064214,0.400426,0.601834,0.043446,0.575872,0.633842,0.107808,0.546843,0.351664,0.336123,0.504705,0.096609,0.601839,0.806876,0.116407,0.163120,0.396794,0.690807,0.809419,0.366173,0.265955,0.425278,0.180699,0.047062,0.605526,0.693306,0.974182,0.312783,0.399818,0.169448,0.495653,0.094899,0.554394,0.977196,0.441659,0.775302,0.202077,0.218938,0.384652,0.179275,0.525929,0.885617,0.319425,0.573285,0.512523,0.443850,0.059538,0.841900,0.227771,0.484286,0.963730,0.207219
4,7.306751,12.341161,10.076099,11.748439,8.593512,9.721003,12.451000,12.463499,13.273697,10.438637,0.445427,0.145514,0.508287,0.902883,0.398604,0.387670,0.441233,0.580163,0.742030,0.400681,0.773798,0.313186,0.598626,0.567839,0.994726,0.657478,0.425115,0.589920,0.875891,0.405789,0.131222,0.264332,0.245480,0.284234,0.720381,0.821029,0.810753,0.512958,0.048554,0.146343,0.815682,0.009176,0.171725,0.016240,0.827741,0.643725,0.119920,0.932519,0.560550,0.282187,0.985343,0.467204,0.441824,0.050052,0.967292,0.736594,0.291520,0.032111,0.826102,0.672870,0.352272,0.832362,0.665015,0.823715,0.913968,0.531230,0.254110,0.057673,0.119972,0.966430,0.627336,0.307857,0.495505,0.657099,0.127805,0.178370,0.906819,0.158110,0.973091,0.043332,0.374728,0.010249,0.999384,0.397403,0.700359,0.711905,0.625424,0.364176,0.126368,0.845904,0.846333,0.740186,0.172662,0.919174,0.235763,0.141017,0.654844,0.596299,0.632205,0.620373
5,5.329150,6.830932,5.682763,5.336125,6.178440,4.434537,4.332661,4.797148,4.669344,5.646685,0.260354,0.380615,0.987074,0.965343,0.763509,0.142289,0.844405,0.212551,0.854934,0.167931,0.481293,0.966243,0.941716,0.531852,0.139565,0.559234,0.580127,0.210376,0.931316,0.132714,0.113157,0.393491,0.566541,0.596687,0.034340,0.610033,0.865609,0.540338,0.238194,0.883979,0.537174,0.552120,0.668320,0.203867,0.953175,0.266765,0.799999,0.547630,0.970768,0.803202,0.760888,0.533151,0.087279,0.874866,0.800802,0.996162,0.685329,0.889356,0.625986,0.280663,0.525296,0.347736,0.269463,0.915434,0.498576,0.166251,0.631660,0.765648,0.339246,0.693387,0.268526,0.541725,0.779501,0.556718,0.545436,0.072283,0.767343,0.636494,0.464121,0.985145,0.664237,0.444832,0.717668,0.998371,0.754656,0.796201,0.756845,0.624431,0.771319,0.076344,0.913169,0.138854,0.490501,0.537529,0.755680,0.242143,0.948897,0.658393,0.542040,0.323866
6,12.547629,13.265840,11.462222,7.583930,11.233671,12.296439,8.834381,11.345378,7.886720,11.916187,0.840562,0.644315,0.434478,0.844601,0.025264,0.317125,0.629750,0.641049,0.435962,0.289970,0.149922,0.591386,0.876025,0.654915,0.439284,0.036177,0.754907,0.576256,0.560649,0.322815,0.954124,0.838869,0.714039,0.746197,0.676760,0.602011,0.199007,0.474613,0.995857,0.625603,0.192332,0.721132,0.017535,0.326787,0.457611,0.071617,0.701551,0.010044,0.622177,0.863758,0.069089,0.052596,0.634635,0.075310,0.307751,0.632911,0.574227,0.340760,0.745818,0.490188,0.896713,0.280248,0.122490,0.500668,0.777756,0.491928,0.726821,0.559788,0.235998,0.305350,0.656185,0.505524,0.441017,0.737855,0.187239,0.644701,0.116049,0.802062,0.777007,0.613616,0.218689,0.577824,0.142784,0.731256,0.892409,0.494653,0.864714,0.277632,0.139953,0.090973,0.316341,0.300480,0.986441,0.152965,0.196088,0.777014,0.988189,0.320501,0.459097,0.919332
7,5.301691,6.497018,3.712176,3.508059,4.428642,3.901223,6.765904,5.145834,5.232584,3.646059,0.643113,0.291731,0.834443,0.133864,0.723065,0.974844,0.488662,0.026063,0.349116,0.592253,0.463342,0.194642,0.904637,0.728946,0.183584,0.612893,0.052857,0.730096,0.495335,0.979791,0.411010,0.241273,0.992555,0.279346,0.809605,0.672922,0.716603,0.659261,0.619161,0.001561,0.052305,0.587380,0.111199,0.665466,0.528188,0.694260,0.870696,0.822454,0.553308,0.043454,0.685691,0.771616,0.219234,0.255081,0.251276,0.632600,0.475244,0.271245,0.262543,0.151115,0.784019,0.819508,0.893394,0.857426,0.359913,0.442587,0.467107,0.498951,0.286317,0.433543,0.369862,0.748750,0.049776,0.834052,0.813171,0.887055,0.972323,0.365825,0.131323,0.416858,0.871564,0.426946,0.100370,0.257739,0.270207,0.814259,0.577008,0.872106,0.311433,0.987447,0.911949,0.999215,0.542596,0.809649,0.597144,0.372529,0.037096,0.667575,0.031848,0.724782
8,10.907141,8.228771,8.438245,8.334821,11.978873,7.370580,10.998212,9.782548,7.542579,7.529297,0.119552,0.655224,0.301573,0.905879,0.911471,0.152736,0.372005,0.301357,0.814058,0.133149,0.478145,0.772338,0.519810,0.359797,0.699232,0.786065,0.968377,0.172755,0.123236,0.417370,0.957789,0.628644,0.785241,0.795086,0.562889,0.679795,0.954110,0.294966,0.321583,0.256726,0.853612,0.432679,0.484161,0.998454,0.660156,0.896087,0.698346,0.748904,0.123652,0.617375,0.328827,0.167077,0.706505,0.758896,0.486600,0.240031,0.985002,0.815836,0.726427,0.533616,0.390564,0.185556,0.470686,0.502533,0.312300,0.080786,0.062631,0.966039,0.468895,0.231191,0.395092,0.884100,0.052181,0.375545,0.080756,0.771475,0.906774,0.308354,0.553541,0.102489,0.913422,0.274639,0.190528,0.471050,0.426553,0.898572,0.848360,0.473961,0.109211,0.085589,0.281064,0.699288,0.394472,0.139113,0.352555,0.393441,0.002569,0.207955,0.571272,0.601802
9,3.774374,5.524653,3.591960,3.326571,3.269417,5.967412,6.658305,6.134501,3.839380,5.878966,0.894226,0.207272,0.898583,0.452617,0.995986,0.748428,0.042219,0.652497,0.384205,0.710046,0.088420,0.881941,0.394792,0.154922,0.954926,0.558559,0.456515,0.275769,0.106975,0.022744,0.324734,0.020663,0.515473,0.168472,0.166905,0.437559,0.817342,0.555085,0.607219,0.632789,0.932337,0.612871,0.142425,0.881850,0.716904,0.335957,0.533065,0.403910,0.356880,0.243266,0.414742,0.621990,0.721834,0.510112,0.455332,0.115201,0.716794,0.382281,0.976108,0.680828,0.011988,0.888286,0.727986,0.088229,0.611747,0.102895,0.641686,0.244060,0.179737,0.954911,0.127924,0.643547,0.426543,0.747115,0.313624,0.423605,0.726759,0.875333,0.948679,0.087288,0.071459,0.306338,0.018393,0.187121,0.680480,0.551862,0.062586,0.615905,0.751196,0.433786,0.180379,0.933825,0.878195,0.466931,0.479988,0.852096,0.265674,0.571227,0.416506,0.263274
10,3.761915,3.469784,6.048295,6.201059,6.111300,3.779211,3.215719,4.374578,3.762699,3.169022,0.008719,0.801670,0.255454,0.760673,0.352267,0.987322,0.733817,0.202695,0.770797,0.015970,0.428269,0.345211,0.875208,0.945383,0.472019,0.012391,0.044358,0.470518,0.175619,0.893869,0.654232,0.926601,0.627161,0.907979,0.302830,0.737629,0.438535,0.962363,0.476621,0.005866,0.667599,0.888157,0.641186,0.853089,0.786121,0.673152,0.145865,0.422951,0.463824,0.779041,0.761096,0.355362,0.813640,0.202317,0.340612,0.689079,0.009917,0.500210,0.408505,0.188636,0.483560,0.639697,0.815214,0.132287,0.068025,0.349730,0.365711,0.029017,0.876403,0.317636,0.754996,0.489389,0.360102,0.861224,0.914907,0.209956,0.161549,0.782881,0.448099,0.721523,0.199153,0.659454,0.256021,0.182541,0.444390,0.805501,0.275681,0.235274,0.941485,0.096453,0.258492,0.769841,0.120457,0.897466,0.759089,0.472475,0.728007,0.226155,0.681961,0.322857
