dataset_id,sample_id,src_idx,dst_idx,src_cell_id,dst_cell_id,ligand,receptor,pathway,mechanism,distance_px,coexpr,causal_score,strength,score
simulation_data,sample1,352,1163,353,1164,LIG08,REC08,Synthetic,Secreted Signaling,74.3303451538086,3.418800115585327,0.5,0.5066766738891602,1.0
simulation_data,sample1,352,1208,353,1209,LIG08,REC08,Synthetic,Secreted Signaling,75.05997467041016,3.0731070041656494,0.5,0.50455641746521,0.9974162578582764
simulation_data,sample1,557,604,558,605,LIG08,REC08,Synthetic,Secreted Signaling,79.55501556396484,3.0731070041656494,0.5,0.4901641607284546,0.9798778891563416
simulation_data,sample1,85,604,86,605,LIG08,REC08,Synthetic,Secreted Signaling,74.2765121459961,3.28351092338562,0.5,0.48646873235702515,0.975374698638916
simulation_data,sample1,281,1340,282,1341,LIG08,REC08,Synthetic,Secreted Signaling,79.30951690673828,3.131471872329712,0.5,0.48419421911239624,0.9726029634475708
simulation_data,sample1,326,1069,327,1070,LIG08,REC08,Synthetic,Secreted Signaling,79.12016296386719,3.043947458267212,0.5,0.4827590584754944,0.9708541035652161
simulation_data,sample1,201,1069,202,1070,LIG08,REC08,Synthetic,Secreted Signaling,78.23043060302734,3.131471872329712,0.5,0.48199915885925293,0.9699280858039856
simulation_data,sample1,358,1340,359,1341,LIG08,REC08,Synthetic,Secreted Signaling,76.216796875,2.7361576557159424,0.5,0.4817105531692505,0.969576358795166
simulation_data,sample1,230,1069,231,1070,LIG08,REC08,Synthetic,Secreted Signaling,78.00640869140625,2.8659276962280273,0.5,0.4816952645778656,0.9695577621459961
simulation_data,sample1,77,1460,78,1461,LIG08,REC08,Synthetic,Secreted Signaling,78.29431915283203,3.351025342941284,0.5,0.4805155396461487,0.9681201577186584
simulation_data,sample1,33,657,34,658,LIG08,REC08,Synthetic,Secreted Signaling,79.32212829589844,2.943369150161743,0.5,0.48049473762512207,0.9680947661399841
simulation_data,sample1,594,720,595,721,LIG08,REC08,Synthetic,Secreted Signaling,79.98124694824219,3.0829665660858154,0.5,0.4803420305252075,0.9679086804389954
simulation_data,sample1,200,1460,201,1461,LIG08,REC08,Synthetic,Secreted Signaling,77.69813537597656,3.5894203186035156,0.5,0.48007136583328247,0.9675788879394531
simulation_data,sample1,243,745,244,746,LIG08,REC08,Synthetic,Secreted Signaling,79.60527801513672,2.9836037158966064,0.5,0.47999483346939087,0.9674856066703796
simulation_data,sample1,419,1419,420,1420,LIG08,REC08,Synthetic,Secreted Signaling,78.10249328613281,3.274467945098877,0.5,0.4796871542930603,0.9671106934547424
simulation_data,sample1,419,1204,420,1205,LIG08,REC08,Synthetic,Secreted Signaling,78.29431915283203,3.3686208724975586,0.5,0.47941452264785767,0.9667784571647644
simulation_data,sample1,537,1282,538,1283,LIG08,REC08,Synthetic,Secreted Signaling,79.30951690673828,3.418800115585327,0.5,0.47937116026878357,0.9667256474494934
simulation_data,sample1,530,1248,531,1249,LIG08,REC08,Synthetic,Secreted Signaling,79.92496490478516,3.048180341720581,0.5,0.47934669256210327,0.9666957855224609
simulation_data,sample1,483,1282,484,1283,LIG08,REC08,Synthetic,Secreted Signaling,79.02531433105469,3.144890308380127,0.5,0.47902336716651917,0.9663017392158508
simulation_data,sample1,93,1069,94,1070,LIG08,REC08,Synthetic,Secreted Signaling,75.18643188476562,2.602947235107422,0.5,0.4790029525756836,0.9662768840789795
simulation_data,sample1,596,1248,597,1249,LIG08,REC08,Synthetic,Secreted Signaling,79.39773559570312,3.211711883544922,0.5,0.4789540767669678,0.9662173390388489
simulation_data,sample1,374,997,375,998,LIG08,REC08,Synthetic,Secreted Signaling,78.892333984375,3.5894203186035156,0.5,0.4789513945579529,0.9662140607833862
simulation_data,sample1,165,1282,166,1283,LIG08,REC08,Synthetic,Secreted Signaling,78.79086303710938,3.418800115585327,0.5,0.47891658544540405,0.9661716222763062
simulation_data,sample1,95,1232,96,1233,LIG08,REC08,Synthetic,Secreted Signaling,79.88116455078125,3.2917306423187256,0.5,0.47886520624160767,0.966109037399292
simulation_data,sample1,386,1232,387,1233,LIG08,REC08,Synthetic,Secreted Signaling,79.64923095703125,3.5894203186035156,0.5,0.4787658452987671,0.9659879803657532
simulation_data,sample1,358,961,359,962,LIG08,REC08,Synthetic,Secreted Signaling,78.39005279541016,2.943369150161743,0.5,0.4786890149116516,0.965894341468811
simulation_data,sample1,566,720,567,721,LIG08,REC08,Synthetic,Secreted Signaling,77.88452911376953,3.447850227355957,0.5,0.4786350131034851,0.965828537940979
simulation_data,sample1,448,1248,449,1249,LIG08,REC08,Synthetic,Secreted Signaling,78.91767883300781,3.447850227355957,0.5,0.4786154627799988,0.9658046960830688
simulation_data,sample1,235,1389,236,1390,LIG08,REC08,Synthetic,Secreted Signaling,77.8331527709961,2.8000705242156982,0.5,0.4785601794719696,0.9657373428344727
simulation_data,sample1,96,1248,97,1249,LIG08,REC08,Synthetic,Secreted Signaling,78.77182006835938,3.5171029567718506,0.5,0.47851407527923584,0.9656811356544495
simulation_data,sample1,281,961,282,962,LIG08,REC08,Synthetic,Secreted Signaling,77.88452911376953,3.3686208724975586,0.5,0.47845539450645447,0.9656096696853638
simulation_data,sample1,442,760,443,761,LIG08,REC08,Synthetic,Secreted Signaling,79.37883758544922,2.8000705242156982,0.5,0.47841885685920715,0.9655650854110718
simulation_data,sample1,270,903,271,904,LIG08,REC08,Synthetic,Secreted Signaling,79.93122100830078,3.1997270584106445,0.5,0.47841519117355347,0.9655606746673584
simulation_data,sample1,271,892,272,893,LIG08,REC08,Synthetic,Secreted Signaling,77.20103454589844,3.2917306423187256,0.5,0.47836804389953613,0.9655032157897949
